relative_path,final_query_used,source_url,status,reason
drinks\169-the-popshoppe-lime-ricky-355ml.jpg,The popshoppe lime ricky 355ml drink,,failed,No valid image found
drinks\170-the-popshoppe-cream-soda-355ml.jpg,The popshoppe cream soda 355ml drink,,failed,No valid image found
drinks\172-basil-seed-kiwi-290ml.jpg,Basil seed kiwi 290ml drink,,failed,No valid image found
drinks\175-basil-seed-lychee-290ml.jpg,Basil seed lychee 290ml drink,,failed,No valid image found
drinks\180-twist-and-drink-cherry-200ml.jpg,Twist and drink cherry 200ml,,failed,No valid image found
drinks\181-twist-and-drink-wildberry-200ml.jpg,Twist and drink wildberry 200ml,,failed,No valid image found
drinks\182-compal-vital-mango-orange.jpg,Compal vital mango orange drink,,failed,No valid image found
drinks\184-compal-pear-nectar.jpg,Compal pear nectar drink,,failed,No valid image found
drinks\187-compal-fresh-100-orange.jpg,Compal fresh 100 orange drink,,failed,No valid image found
drinks\188-compal-vital-orange-carrot-mango.jpg,Compal vital orange carrot mango drink,,failed,No valid image found
drinks\189-compal-fresh-100-apple.jpg,Compal fresh 100 apple drink,,failed,No valid image found
drinks\190-compal-passionfruit-fresh.jpg,Compal passionfruit fresh drink,,failed,No valid image found
drinks\191-compal-passion-fruit-mango.jpg,Compal passion fruit mango drink,,failed,No valid image found
drinks\192-compal-multi-fruit-nectar.jpg,Compal multi fruit nectar drink,,failed,No valid image found
drinks\193-compal-pineapple-nectar.jpg,Compal pineapple nectar drink,,failed,No valid image found
drinks\194-compal-light-pine-coconut.jpg,Compal light pine coconut drink,,failed,No valid image found
drinks\195-musa-jus-cocktail-1l.jpg,Musa jus cocktail 1l drink,https://www.mymarket.ma/cdn/shop/products/marrakechjustropical1l.jpg,success,
drinks\197-musa-jus-mangue-1l.jpg,Musa jus mangue 1l drink,,failed,No valid image found
drinks\199-bissap-160g.jpg,Bissap 160g drink,,failed,No valid image found
drinks\200-lipton-yellow-label-tea.jpg,Lipton yellow label tea drink,,failed,No valid image found
drinks\202-naya-bottled-water.jpg,Naya bottled water drink,,failed,No valid image found
dry-goods\102-nacional-cotovelos.jpg,Nacional cotovelos,,failed,No valid image found
dry-goods\103-milaneza-lacos-bows.jpg,Milaneza lacos bows,,failed,No valid image found
dry-goods\104-nacional-cotovelinhos.jpg,Nacional cotovelinhos,,failed,No valid image found
dry-goods\106-nacional-buzios-conchas.jpg,Nacional buzios conchas,,failed,No valid image found
dry-goods\108-nacional-cotovelinhos-finos.jpg,Nacional cotovelinhos finos,,failed,No valid image found
dry-goods\110-massa-de-meada-normal.jpg,Massa de meada normal,,failed,No valid image found
dry-goods\111-nacional-pevide-midolline.jpg,Nacional pevide midolline,,failed,No valid image found
dry-goods\113-nacional-estrelinhas.jpg,Nacional estrelinhas,,failed,No valid image found
dry-goods\115-nacional-letras-and-algarismo.jpg,Nacional letras and algarismo,,failed,No valid image found
