relative_path,search_query,source_url,status,reason
frozen-vegetables\086-frozen-pigeon-peas-tropical-harvest.jpg,,,failed,No valid image found
frozen-vegetables\087-ferma-frozen-broccoli.jpg,ferma frozen broccoli,https://igloofood.com.sg/image/cache/catalog/PRODUCTS/Vegetables/brocoli-500x500.jpg,success,
frozen-vegetables\088-oriental-pearl-california-mix.jpg,,,failed,No valid image found
household\211-old-dutch-bleach.jpg,old dutch bleach,https://i.etsystatic.com/21115626/r/il/a0c50e/6494619803/il_1080xN.6494619803_r9hn.jpg,success,
household\212-fabuloso-montanha-liquid-detergent.jpg,,,failed,No valid image found
household\213-fabuloso-floral-liquid-detergent.jpg,,,failed,No valid image found
household\214-fabuloso-ajax-spring-floor-detergent.jpg,,,failed,No valid image found
household\215-fabuloso-lavanda-liquid-detergent.jpg,,,failed,No valid image found
household\216-clarim-laundry-large-bar-soap.jpg,,,failed,No search results
medical\242-protection-baume-de-nerfs-130ml.jpg,,,failed,No search results
medical\243-dola-gel-plus.jpg,dola gel plus,https://www.neostrata.com/cdn/shop/files/F30153R_main.jpg,success,
medical\245-ketazol-cream.jpg,ketazol cream,https://www.dischem.co.za/media/catalog/product/cache/58a395ea72ec1567f142be439e4339c8/6/0/6001390982604.jpg,success,
medical\246-victago-pommade.jpg,,,failed,No valid image found
medical\247-leopard-balsamo.jpg,,,failed,No valid image found
snacks\203-chocolate-umbrellas.jpg,chocolate umbrellas,https://thumbs.dreamstime.com/b/chocolate-umbrellas-white-background-milk-chocolate-umbrellas-white-isolated-background-291958780.jpg,success,
snacks\204-kinder-surprise-classic.jpg,,,failed,No valid image found
snacks\205-v-c-dig-thins-wild-fruits.jpg,dig thins wild fruits,https://images.squarespace-cdn.com/content/v1/62e7a92f066fa3730dcd4604/f60a79c4-4e6e-4b5f-8230-3e737110a4f4/v2-5ht4h-q0kie.jpg,success,
snacks\206-moacor-biscuits.jpg,moacor biscuits,https://images.squarespace-cdn.com/content/v1/577d692d2e69cff0a51027a9/1631799101188-EC1RRVHPWS3ICFT13HAE/MoacorMaria2.jpg,success,
snacks\210-boxed-cookies-biscuits.jpg,,,failed,No valid image found
